"Timestamp","Which age group do you belong to?","Which OTT platform(s) are you currently subscribed to?","Which is your PRIMARY OTT subscription? (The one you use most)","How long have you been continuously subscribed to your primary platform?","What subscription plan are you currently on?","Approximately how much do you spend MONTHLY on your primary subscription?","How often do you actually use your primary subscription?","On a scale of 0-10, how likely are you to recommend your primary platform to a friend?","How satisfied are you with the CONTENT on your primary platform?","Do you feel you're getting good value for what you pay?","How likely are you to cancel your primary OTT subscription in the next 3 months?  ","Have you switched from one OTT service to another in the last 6 months?","What is the main reason for switching or cancelling the subscription?","Are you sharing your account with people outside your immediate household?","Are you aware of competing platforms offering better value?","Would you prefer bundled subscriptions (multiple platforms together) at a discount?","How do you pay for your subscription?","Any suggestions about your streaming experience?"
"2026/02/03 2:22:22 pm GMT+5:30","18-35","Disney+ hotstar;ZEE 5;Jio Cinema","Disney+ Hotstar","3-6 months","Standard","₹200 - ₹500","Often","7","3","Neutral","Not sure","No changes","Not enough new/interesting content","No, only I use it","No, satisfied with current","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 2:26:42 pm GMT+5:30","18-35","Netflix","Netflix","More than 2 years","Student plan","More than ₹1000","Rarely (once in 2-3 months)","10","3","Neutral","Not sure","Yes, dropped one but kept others","Don't use it enough","Yes, with friends/relatives","No, satisfied with current","Maybe, depends on price","Pay as you go (monthly manual)","Horrible "
"2026/02/03 2:42:01 pm GMT+5:30","18-35","Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","1-2 years","Mobile-only","Less than ₹200","Rarely (once in 2-3 months)","5","3","Neutral","Very likely","No changes","Don't use it enough","No, only I use it","Yes, and actively considering switch","Yes, definitely","Annual payment",""
"2026/02/03 3:19:18 pm GMT+5:30","18-35","Netflix;Sony LIV;ZEE 5;Jio Cinema","Netflix","1-3 months","Student plan","Less than ₹200","Often","10","4","Excellent value","Not sure","No changes","Only subscribed for specific show(s)","No, only I use it","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 3:26:31 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Jio Cinema;YouTube Premium","Disney+ Hotstar","1-2 years","Student plan","More than ₹1000","Daily","10","5","Neutral","Very unlikely","No changes","","Yes, with friends/relatives","No, satisfied with current","Yes, definitely","Family member pays",""
"2026/02/03 3:26:35 pm GMT+5:30","35+","Jio Cinema","Jio Cinema","1-2 years","Mobile-only","₹501 - ₹1000","Daily","7","3","Neutral","Not sure","No changes","Found better alternative","No, only I use it","No, satisfied with current","Yes, definitely","Monthly auto-renewal","Don't stream more only on Lisere time "
"2026/02/03 3:30:10 pm GMT+5:30","Under 18","Netflix;Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","1-2 years","Student plan","Less than ₹200","Often","9","3","Neutral","Not sure","Yes, switched completely","Too expensive / Price hike","Yes, with family","No, satisfied with current","Yes, definitely","Pay as you go (monthly manual)",""
"2026/02/03 3:31:44 pm GMT+5:30","18-35","Pickashow , net mirror ","YouTube Premium","Less than 1 month","Standard","More than ₹1000","Often","3","4","Excellent value","Very unlikely","Yes, switched completely","Not enough new/interesting content","Yes, with family","No, satisfied with current","Maybe, depends on price","Using offers/discounts each time","Bad"
"2026/02/03 3:33:30 pm GMT+5:30","35+","Netflix;Amazon Prime video","Netflix","More than 2 years","Family plan","₹200 - ₹500","Often","9","4","Excellent value","Not sure","No changes","Don't use it enough","No, only I use it","No, satisfied with current","Maybe, depends on price","Annual payment",""
"2026/02/03 3:41:53 pm GMT+5:30","Under 18","Netmirror","Netnirror","More than 2 years","Premium","More than ₹1000","Rarely (once in 2-3 months)","0","1","Poor value","Not sure","Yes, dropped one but kept others","Found better alternative","I'm using someone else's account","Don't follow competitors","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 3:42:03 pm GMT+5:30","18-35","Netflix;Amazon Prime video","Netflix","More than 2 years","Mobile-only","₹501 - ₹1000","Often","10","5","Neutral","Not sure","Yes, added new one but kept old","Not enough new/interesting content","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal","No"
"2026/02/03 3:42:27 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","More than 2 years","Annual plan","₹501 - ₹1000","Daily","8","4","Neutral","Not sure","Yes, added new one but kept old","To much of ads even taking subscription ","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Annual payment","Not much"
"2026/02/03 3:46:56 pm GMT+5:30","18-35","YouTube Premium","Disney+ Hotstar","3-6 months","Premium","₹200 - ₹500","Daily","10","5","Excellent value","Not sure","No changes","","Yes, with family","Yes, and actively considering switch","Yes, definitely","Annual payment",""
"2026/02/03 3:55:45 pm GMT+5:30","18-35","Netflix;Disney+ hotstar","Netflix","1-2 years","Standard","Less than ₹200","Often","9","5","Neutral","Very unlikely","Yes, added new one but kept old","Wanted to try something new ","Yes, with friends/relatives","Yes, and actively considering switch","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 4:02:47 pm GMT+5:30","18-35","Netflix;Disney+ hotstar","Netflix","3-6 months","Basic","₹200 - ₹500","Often","8","3","Neutral","Not sure","Yes, added new one but kept old","Found better alternative","Yes, with friends/relatives","No, satisfied with current","No, prefer separate","Pay as you go (monthly manual)",""
"2026/02/03 4:06:42 pm GMT+5:30","Under 18","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;Jio hotstar","Netflix","More than 2 years","Premium","₹501 - ₹1000","Often","9","4","Neutral","Very unlikely","Yes, switched completely","Only subscribed for specific show(s)","No, only I use it","Yes, and actively considering switch","Yes, definitely","Pay as you go (monthly manual)","Your answer "
"2026/02/03 4:08:41 pm GMT+5:30","35+","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;YouTube Premium;Naughty america ","Naughty america ","More than 2 years","Family plan","More than ₹1000","Daily","10","5","Excellent value","Very unlikely","No changes","","Yes, with friends/relatives","Yes, and actively considering switch","Yes, definitely","Annual payment","Lower prices "
"2026/02/03 4:18:37 pm GMT+5:30","18-35","Jio Cinema","Jio Cinema","6-12 months","Mobile-only","₹200 - ₹500","Rarely (once in 2-3 months)","7","3","Neutral","Not sure","Yes, dropped one but kept others","Too expensive / Price hike","No, only I use it","Yes, but not seriously considering","Maybe, depends on price","Using offers/discounts each time",""
"2026/02/03 4:26:54 pm GMT+5:30","18-35","Netflix","Netflix","1-2 years","Basic","₹501 - ₹1000","Daily","8","5","Neutral","Very unlikely","No changes","","Yes, with friends/relatives","Don't follow competitors","No, prefer separate","Monthly auto-renewal",""
"2026/02/03 4:32:58 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Sony LIV;YouTube Premium","Amazon Prime video","1-3 months","Standard","₹501 - ₹1000","Often","7","3","Neutral","Very likely","Yes, added new one but kept old","Don't use it enough","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Pay as you go (monthly manual)","Good to go when tired and recommendations helps when find difficulty in choosing what to watch."
"2026/02/03 4:39:44 pm GMT+5:30","18-35","Disney+ hotstar;Jio Cinema","Disney+ Hotstar","3-6 months","Standard","Less than ₹200","Often","7","4","Neutral","Not sure","No changes","Only subscribed for specific show(s)","No, only I use it","Don't follow competitors","No, prefer separate","Monthly auto-renewal",""
"2026/02/03 4:50:16 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;YouTube Premium","Amazon Prime video","More than 2 years","Premium","More than ₹1000","Daily","10","5","Excellent value","Very unlikely","No changes","No reason","Yes, with family","No, satisfied with current","Yes, definitely","Annual payment","Excellent"
"2026/02/03 4:51:32 pm GMT+5:30","35+","Netflix","ZEE 5","1-3 months","Mobile-only","₹200 - ₹500","Often","2","5","Excellent value","Very unlikely","Yes, switched completely","Found better alternative","No, only I use it","Yes, and actively considering switch","Maybe, depends on price","Annual payment","No"
"2026/02/03 4:51:45 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Jio Cinema","Amazon Prime video","6-12 months","Standard","₹200 - ₹500","Often","7","4","Neutral","Not sure","Yes, dropped one but kept others","Don't use it enough","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Annual payment","No"
"2026/02/03 4:53:01 pm GMT+5:30","18-35","Jio Cinema","Jio Cinema","More than 2 years","Mobile-only","₹200 - ₹500","Often","5","3","Neutral","Very unlikely","Yes, added new one but kept old","Found better alternative","Yes, with family","Yes, but not seriously considering","No, prefer separate","Pay as you go (monthly manual)","Nothing much "
"2026/02/03 5:13:30 pm GMT+5:30","18-35","Disney+ hotstar;Sony LIV","Sony LIV","Less than 1 month","Basic","Less than ₹200","Rarely (once in 2-3 months)","8","5","Excellent value","Not sure","No changes","Don't use it enough","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/02/03 5:20:59 pm GMT+5:30","18-35","Netflix;Disney+ hotstar;ZEE 5;Jio Cinema","Disney+ Hotstar","1-3 months","Basic","₹200 - ₹500","Daily","10","5","Neutral","Very unlikely","Yes, added new one but kept old","Not enough new/interesting content","Yes, with friends/relatives","Yes, and actively considering switch","Maybe, depends on price","Monthly auto-renewal","No"
"2026/02/03 5:35:29 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Jio Cinema","Netflix","6-12 months","Mobile-only","₹200 - ₹500","Often","7","3","Neutral","Not sure","No changes","Only subscribed for specific show(s)","Yes, with friends/relatives","Yes, but not seriously considering","Yes, definitely","Pay as you go (monthly manual)",""
"2026/02/03 5:56:04 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar","Netflix","6-12 months","Premium","₹501 - ₹1000","Often","9","4","Neutral","Not sure","Yes, added new one but kept old","Found better alternative","Yes, with friends/relatives","Yes, but not seriously considering","Yes, definitely","Pay as you go (monthly manual)",""
"2026/02/03 6:10:12 pm GMT+5:30","18-35","Netflix;Disney+ hotstar","Netflix","3-6 months","Mobile-only","₹200 - ₹500","Daily","6","3","Neutral","Very unlikely","Yes, dropped one but kept others","Not enough new/interesting content","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Family member pays",""
"2026/02/03 6:13:18 pm GMT+5:30","18-35","No use","No one","Less than 1 month","Mobile-only","Less than ₹200","Rarely (once in 2-3 months)","0","1","Poor value","Very unlikely","No changes","","No, only I use it","Don't follow competitors","No, prefer separate","Using offers/discounts each time","I don’t get premium "
"2026/02/03 6:35:24 pm GMT+5:30","18-35","Amazon Prime video","Amazon Prime video","3-6 months","Standard","₹200 - ₹500","Daily","10","5","Excellent value","Very likely","Yes, switched completely","Only subscribed for specific show(s)","No, only I use it","Yes, and actively considering switch","Yes, definitely","Monthly auto-renewal",""
"2026/02/03 6:35:34 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","6-12 months","Standard","₹200 - ₹500","Often","9","4","Neutral","Not sure","Yes, dropped one but kept others","Only subscribed for specific show(s)","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/02/03 6:36:24 pm GMT+5:30","35+","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;YouTube Premium","Amazon Prime video","More than 2 years","Standard","More than ₹1000","Daily","10","5","Excellent value","Very unlikely","No changes","NA","Yes, with family","Yes, but not seriously considering","Yes, definitely","Annual payment",""
"2026/02/03 6:36:38 pm GMT+5:30","Under 18","Netflix","Netflix","1-3 months","Standard","Less than ₹200","Often","1","2","Neutral","Not sure","No changes","Only subscribed for specific show(s)","Yes, with family","No, satisfied with current","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/02/03 6:37:45 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;YouTube Premium","Netflix","1-2 years","Standard","₹501 - ₹1000","Daily","10","4","Neutral","Not sure","Yes, added new one but kept old","Not enough new/interesting content","Yes, with family","No, satisfied with current","Maybe, depends on price","Monthly auto-renewal","Nothig"
"2026/02/03 6:38:29 pm GMT+5:30","18-35","Disney+ hotstar","Netflix","1-3 months","Mobile-only","Less than ₹200","Daily","8","4","Neutral","Not sure","Yes, added new one but kept old","Not enough new/interesting content","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal","."
"2026/02/03 6:40:27 pm GMT+5:30","35+","YouTube Premium","YouTube Premium","1-3 months","Family plan","₹200 - ₹500","Often","3","2","Poor value","Very likely","Yes, dropped one but kept others","Only subscribed for specific show(s)","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/02/03 6:47:03 pm GMT+5:30","18-35","Netflix;Disney+ hotstar;Jio Cinema","Disney+ Hotstar","1-3 months","Mobile-only","Less than ₹200","Rarely (once in 2-3 months)","6","4","Excellent value","Not sure","Yes, added new one but kept old","Don't use it enough","No, only I use it","Yes, and actively considering switch","Maybe, depends on price","Annual payment",""
"2026/02/03 7:01:15 pm GMT+5:30","Under 18","Netflix;Amazon Prime video;Disney+ hotstar","Netflix","More than 2 years","Standard","₹200 - ₹500","Often","10","5","Excellent value","Very unlikely","Yes, added new one but kept old","Only subscribed for specific show(s)","Yes, with family","Yes, and actively considering switch","Yes, definitely","Family member pays",""
"2026/02/03 7:05:42 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;YouTube Premium;Crunchyroll, masterclass, etc","YouTube Premium","More than 2 years","Annual plan","₹200 - ₹500","Daily","10","4","Excellent value","Not sure","Yes, dropped one but kept others","Don't use it enough","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 7:06:50 pm GMT+5:30","18-35","Disney+ hotstar","Disney+ Hotstar","Less than 1 month","Mobile-only","Less than ₹200","Often","5","3","Excellent value","Not sure","No changes","Don't use it enough","No, only I use it","Yes, but not seriously considering","Yes, definitely","Pay as you go (monthly manual)","The ads kind of irritating "
"2026/02/03 7:08:44 pm GMT+5:30","Under 18","Netflix;Amazon Prime video;Disney+ hotstar;Sony LIV;ZEE 5;Jio Cinema;","Netflix","More than 2 years","Family plan","More than ₹1000","Daily","10","5","Excellent value","Not sure","Yes, added new one but kept old","Don't use it enough","Yes, with family","Yes, but not seriously considering","Yes, definitely","Pay as you go (monthly manual)","The world of OTT has me in awe always and will keep using till other alternative is found."
"2026/02/03 7:37:50 pm GMT+5:30","18-35","None","Netflix","Less than 1 month","Basic","Less than ₹200","Rarely (once in 2-3 months)","8","4","Neutral","Not sure","No changes","Don't use it enough","Yes, with family","Yes, but not seriously considering","Yes, definitely","Family member pays","No"
"2026/02/03 7:47:32 pm GMT+5:30","18-35","Netflix;Disney+ hotstar;Sony LIV;ZEE 5","Netflix","3-6 months","Basic","₹200 - ₹500","Often","9","4","Excellent value","Not sure","Yes, added new one but kept old","Found better alternative","Yes, with family","Yes, and actively considering switch","Yes, definitely","Monthly auto-renewal","Better Recommendation based on my watch history
Better segregation based on genres like whatever i wish to watch that day i don't spend much time on scrolling and deciding
"
"2026/02/03 7:50:55 pm GMT+5:30","Under 18","Brazzers","Brazzers","More than 2 years","Premium","More than ₹1000","Daily","10","5","Excellent value","Very unlikely","No changes","","Yes, with friends/relatives","Yes, and actively considering switch","Yes, definitely","Family member pays","I see quality not quantity"
"2026/02/03 7:57:25 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;ZEE 5","Disney+ Hotstar","More than 2 years","Mobile-only","₹200 - ₹500","Often","10","5","Excellent value","Not sure","Yes, added new one but kept old","Found better alternative","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal",""
"2026/02/03 8:16:36 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;ZEE 5","Disney+ Hotstar","More than 2 years","Basic","₹200 - ₹500","Daily","5","4","Neutral","Not sure","No changes","Only subscribed for specific show(s)","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Family member pays",""
"2026/02/03 8:51:54 pm GMT+5:30","18-35","Netflix","Netflix","Less than 1 month","Mobile-only","₹200 - ₹500","Often","5","4","Neutral","Not sure","No changes","Didn't thought about it . ","Yes, with friends/relatives","No, satisfied with current","Maybe, depends on price","Monthly auto-renewal","No"
"2026/02/03 9:01:25 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Jio Cinema","Amazon Prime video","1-3 months","Mobile-only","Less than ₹200","Often","4","3","Neutral","Very unlikely","Yes, added new one but kept old","Don't use it enough","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/02/03 9:15:05 pm GMT+5:30","18-35","Disney+ hotstar","Disney+ Hotstar","More than 2 years","Basic","Less than ₹200","Often","7","3","Neutral","Not sure","No changes","Don't use it enough","No, only I use it","No, satisfied with current","Yes, definitely","Pay as you go (monthly manual)","NA"
"2026/02/03 9:42:17 pm GMT+5:30","18-35","Netflix","Netflix","More than 2 years","Premium","₹501 - ₹1000","Daily","10","1","Excellent value","Very likely","Yes, added new one but kept old","Don't use it enough","No, only I use it","Yes, and actively considering switch","Yes, definitely","Annual payment",""
"2026/02/03 9:46:14 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Jio Cinema","Netflix","More than 2 years","Basic","Less than ₹200","Daily","10","4","Excellent value","Not sure","No changes","Only subscribed for specific show(s)","I'm using someone else's account","Yes, but not seriously considering","No, prefer separate","Monthly auto-renewal",""
"2026/02/03 10:31:34 pm GMT+5:30","18-35","Disney+ hotstar;Jio Cinema;Castle ","Castle ","6-12 months","Mobile-only","₹200 - ₹500","Daily","8","3","Neutral","Very unlikely","No changes","Found better alternative","Yes, with friends/relatives","No, satisfied with current","Yes, definitely","Pay as you go (monthly manual)","No"
"2026/02/03 10:46:47 pm GMT+5:30","18-35","Netflix","Netflix","3-6 months","Family plan","₹501 - ₹1000","Often","7","3","Neutral","Not sure","Yes, dropped one but kept others","Too expensive / Price hike","Yes, with family","Yes, but not seriously considering","Yes, definitely","Monthly auto-renewal",""
"2026/02/04 9:13:11 am GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;ZEE 5;Jio Cinema","Netflix","1-3 months","Standard","Less than ₹200","Often","8","4","Excellent value","Not sure","Yes, added new one but kept old","Don't use it enough","Yes, with family","Yes, but not seriously considering","Yes, definitely","Monthly auto-renewal","No"
"2026/02/04 12:16:51 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;","Disney+ Hotstar","Less than 1 month","Mobile-only","₹200 - ₹500","Often","7","4","Neutral","Not sure","Yes, dropped one but kept others","Only subscribed for specific show(s)","Yes, with friends/relatives","No, satisfied with current","Maybe, depends on price","Pay as you go (monthly manual)","It was outstanding experience"
"2026/02/04 12:27:13 pm GMT+5:30","18-35","Netflix;Amazon Prime video;ZEE 5;Jio Cinema","Netflix","Less than 1 month","Mobile-only","Less than ₹200","Rarely (once in 2-3 months)","2","4","Neutral","Not sure","No changes","Don't use it enough","No, only I use it","Don't follow competitors","No, prefer separate","Family member pays","My streaming rule: keep one light show, one intense show, and one comfort rewatch—so your mood always has a match. Use subtitles (you catch more than you think) and don’t start new series late at night unless you’re ready to sacrifice sleep. Good earphones + no scrolling = 10x better experience. And make a watchlist, or you’ll waste more time choosing than watching. 🍿"
"2026/02/04 6:07:47 pm GMT+5:30","18-35","ZEE 5","ZEE 5","1-3 months","Mobile-only","Less than ₹200","Often","6","3","Neutral","Not sure","Yes, switched completely","Not enough new/interesting content","No, only I use it","Yes, and actively considering switch","No, prefer separate","Monthly auto-renewal","No"
"2026/02/04 6:08:34 pm GMT+5:30","18-35","Netflix","Netflix","6-12 months","Standard","₹501 - ₹1000","Daily","8","3","Neutral","Very likely","Yes, switched completely","Not enough new/interesting content","Yes, with friends/relatives","Yes, but not seriously considering","Maybe, depends on price","Annual payment","Thank you... Tevde paise send Kara "
"2026/02/06 5:52:37 pm GMT+5:30","18-35","Disney+ hotstar","Disney+ Hotstar","1-2 years","Mobile-only","₹200 - ₹500","Often","5","3","Neutral","Not sure","No changes","Don't use it enough","No, only I use it","No, satisfied with current","Maybe, depends on price","Pay as you go (monthly manual)","No "
"2026/02/06 8:26:30 pm GMT+5:30","18-35","Netflix","Netflix","6-12 months","Mobile-only","₹200 - ₹500","Often","10","5","Excellent value","Very likely","No changes","","Yes, with family","Yes, but not seriously considering","Yes, definitely","Annual payment",""